vente_id;client_id;point_de_vente_id;produit_id;quantites_vendues;prix_vente_unitaire;ventes_euro;date_facturation
119;CLIENT_1;PDV_5;PROD_2;19;179;3401;01/03/2021
120;CLIENT_6;PDV_6;PROD_2;48;301;14448;01/03/2021
121;CLIENT_6;PDV_7;PROD_2;16;240;3840;01/03/2021
122;CLIENT_6;PDV_4;PROD_2;37;181;6697;01/03/2021
123;CLIENT_3;PDV_3;PROD_2;48;118;5664;01/04/2021
124;CLIENT_3;PDV_4;PROD_2;5;341;1705;01/04/2021
125;CLIENT_1;PDV_6;PROD_1;41;261;10701;01/04/2021
126;CLIENT_1;PDV_7;PROD_1;3;226;678;01/04/2021
127;CLIENT_1;PDV_4;PROD_5;44;280;12320;01/04/2021
128;CLIENT_1;PDV_1;PROD_1;32;121;3872;01/04/2021
129;CLIENT_1;PDV_5;PROD_1;47;196;9212;01/04/2021
130;CLIENT_1;PDV_4;PROD_3;5;314;1570;01/04/2021
131;CLIENT_1;PDV_7;PROD_2;29;88;2552;01/04/2021
132;CLIENT_1;PDV_6;PROD_3;13;136;1768;01/04/2021
133;CLIENT_1;PDV_3;PROD_3;14;81;1134;01/04/2021
134;CLIENT_1;PDV_5;PROD_3;33;35;1155;01/04/2021
135;CLIENT_1;PDV_6;PROD_2;10;18;180;01/04/2021
136;CLIENT_1;PDV_6;PROD_2;30;333;9990;01/04/2021
137;CLIENT_1;PDV_7;PROD_2;48;207;9936;01/04/2021
138;CLIENT_1;PDV_6;PROD_2;50;76;3800;01/04/2021
139;CLIENT_8;PDV_1;PROD_6;2;38;76;01/04/2021
140;CLIENT_8;PDV_2;PROD_2;20;279;5580;01/04/2021
141;CLIENT_2;PDV_4;PROD_1;19;253;4807;01/04/2021
142;CLIENT_2;PDV_2;PROD_5;33;241;7953;01/04/2021
143;CLIENT_2;PDV_7;PROD_5;9;66;594;01/04/2021
144;CLIENT_2;PDV_4;PROD_1;9;137;1233;01/04/2021
145;CLIENT_2;PDV_3;PROD_1;31;94;2914;01/04/2021
146;CLIENT_3;PDV_5;PROD_6;5;23;115;01/04/2021
147;CLIENT_3;PDV_2;PROD_1;48;299;14352;01/04/2021
148;CLIENT_3;PDV_1;PROD_1;1;214;214;01/04/2021
149;CLIENT_3;PDV_4;PROD_4;49;187;9163;01/04/2021
150;CLIENT_3;PDV_5;PROD_6;23;184;4232;01/04/2021
151;CLIENT_3;PDV_7;PROD_3;5;186;930;01/04/2021
152;CLIENT_7;PDV_7;PROD_4;33;343;11319;01/05/2021
153;CLIENT_7;PDV_2;PROD_6;29;88;2552;01/05/2021
154;CLIENT_1;PDV_2;PROD_4;2;329;658;01/05/2021
155;CLIENT_1;PDV_2;PROD_5;25;157;3925;01/05/2021
156;CLIENT_1;PDV_2;PROD_5;3;271;813;01/05/2021
157;CLIENT_1;PDV_4;PROD_5;40;200;8000;01/05/2021
158;CLIENT_1;PDV_6;PROD_5;43;313;13459;01/05/2021
159;CLIENT_3;PDV_3;PROD_1;35;131;4585;01/05/2021
160;CLIENT_3;PDV_5;PROD_2;40;51;2040;01/05/2021
161;CLIENT_3;PDV_5;PROD_2;42;198;8316;01/05/2021
162;CLIENT_3;PDV_1;PROD_2;33;318;10494;01/05/2021
163;CLIENT_3;PDV_7;PROD_2;5;209;1045;01/05/2021
164;CLIENT_3;PDV_7;PROD_2;37;202;7474;01/05/2021
165;CLIENT_1;PDV_4;PROD_2;19;335;6365;01/05/2021
166;CLIENT_1;PDV_4;PROD_2;1;310;310;01/05/2021
167;CLIENT_1;PDV_6;PROD_2;1;222;222;01/05/2021
168;CLIENT_1;PDV_4;PROD_6;38;331;12578;01/05/2021
169;CLIENT_1;PDV_1;PROD_2;34;218;7412;01/05/2021
170;CLIENT_1;PDV_4;PROD_6;9;244;2196;01/05/2021
171;CLIENT_1;PDV_4;PROD_6;27;322;8694;01/05/2021
172;CLIENT_1;PDV_2;PROD_6;21;294;6174;01/05/2021
173;CLIENT_1;PDV_4;PROD_4;34;277;9418;01/05/2021
174;CLIENT_1;PDV_4;PROD_4;42;136;5712;01/05/2021
175;CLIENT_1;PDV_5;PROD_4;47;248;11656;01/05/2021
176;CLIENT_1;PDV_2;PROD_1;7;321;2247;01/05/2021
177;CLIENT_1;PDV_2;PROD_3;4;326;1304;01/05/2021
178;CLIENT_1;PDV_5;PROD_2;44;99;4356;01/05/2021
179;CLIENT_1;PDV_5;PROD_4;7;256;1792;01/05/2021
180;CLIENT_1;PDV_5;PROD_3;41;18;738;01/05/2021
181;CLIENT_1;PDV_4;PROD_2;1;128;128;01/05/2021
182;CLIENT_1;PDV_7;PROD_2;2;344;688;01/05/2021
183;CLIENT_1;PDV_3;PROD_2;7;198;1386;01/05/2021
184;CLIENT_1;PDV_5;PROD_2;38;257;9766;01/05/2021
185;CLIENT_1;PDV_1;PROD_2;42;133;5586;01/05/2021
186;CLIENT_1;PDV_1;PROD_2;16;239;3824;01/05/2021
187;CLIENT_8;PDV_1;PROD_2;39;166;6474;01/05/2021
188;CLIENT_8;PDV_6;PROD_2;48;39;1872;01/06/2021
189;CLIENT_2;PDV_6;PROD_6;23;302;6946;01/06/2021
190;CLIENT_2;PDV_7;PROD_4;40;116;4640;01/06/2021
191;CLIENT_2;PDV_5;PROD_6;27;289;7803;01/06/2021
192;CLIENT_2;PDV_6;PROD_1;10;331;3310;01/06/2021
193;CLIENT_2;PDV_6;PROD_5;38;80;3040;01/06/2021
194;CLIENT_2;PDV_2;PROD_3;46;10;460;01/06/2021
195;CLIENT_3;PDV_1;PROD_3;36;42;1512;01/06/2021
196;CLIENT_3;PDV_6;PROD_1;38;310;11780;01/06/2021
197;CLIENT_7;PDV_2;PROD_3;29;202;5858;01/06/2021
198;CLIENT_1;PDV_6;PROD_1;29;66;1914;01/06/2021
199;CLIENT_1;PDV_1;PROD_1;31;260;8060;01/06/2021
200;CLIENT_1;PDV_4;PROD_4;15;341;5115;01/06/2021
201;CLIENT_1;PDV_7;PROD_1;4;122;488;01/06/2021
202;CLIENT_1;PDV_7;PROD_1;16;251;4016;01/06/2021
203;CLIENT_1;PDV_7;PROD_1;13;88;1144;01/06/2021
204;CLIENT_7;PDV_7;PROD_3;33;249;8217;01/06/2021
205;CLIENT_7;PDV_7;PROD_3;33;233;7689;01/06/2021
206;CLIENT_7;PDV_1;PROD_3;38;48;1824;01/06/2021
207;CLIENT_3;PDV_7;PROD_3;40;284;11360;01/06/2021
208;CLIENT_3;PDV_3;PROD_3;1;301;301;01/06/2021
209;CLIENT_2;PDV_5;PROD_2;3;106;318;01/06/2021
210;CLIENT_6;PDV_6;PROD_2;28;219;6132;01/06/2021
211;CLIENT_6;PDV_4;PROD_2;19;258;4902;01/06/2021
212;CLIENT_2;PDV_6;PROD_2;23;158;3634;01/06/2021
213;CLIENT_2;PDV_1;PROD_2;25;142;3550;01/06/2021
214;CLIENT_1;PDV_4;PROD_5;45;300;13500;01/06/2021
215;CLIENT_1;PDV_4;PROD_5;29;261;7569;01/06/2021
216;CLIENT_1;PDV_3;PROD_5;15;240;3600;01/06/2021
217;CLIENT_1;PDV_4;PROD_5;46;22;1012;01/06/2021
218;CLIENT_1;PDV_7;PROD_5;27;73;1971;01/06/2021
219;CLIENT_1;PDV_2;PROD_2;25;116;2900;01/06/2021
220;CLIENT_1;PDV_3;PROD_2;50;157;7850;01/06/2021
221;CLIENT_1;PDV_3;PROD_5;28;35;980;01/06/2021
222;CLIENT_1;PDV_2;PROD_2;44;339;14916;01/06/2021
223;CLIENT_1;PDV_4;PROD_2;42;276;11592;01/06/2021
224;CLIENT_1;PDV_6;PROD_2;41;42;1722;01/06/2021
225;CLIENT_1;PDV_1;PROD_2;15;74;1110;01/06/2021
226;CLIENT_1;PDV_3;PROD_6;2;330;660;01/06/2021
227;CLIENT_1;PDV_1;PROD_6;31;276;8556;01/06/2021
228;CLIENT_1;PDV_7;PROD_1;39;302;11778;01/06/2021
229;CLIENT_2;PDV_4;PROD_1;26;126;3276;01/06/2021
230;CLIENT_2;PDV_3;PROD_4;48;124;5952;01/06/2021
231;CLIENT_2;PDV_3;PROD_6;18;8;144;01/06/2021
232;CLIENT_2;PDV_6;PROD_3;49;111;5439;01/06/2021
233;CLIENT_2;PDV_7;PROD_5;13;85;1105;01/06/2021
234;CLIENT_3;PDV_7;PROD_6;30;83;2490;01/06/2021
235;CLIENT_3;PDV_6;PROD_6;21;318;6678;01/06/2021
236;CLIENT_3;PDV_3;PROD_5;47;14;658;01/06/2021
237;CLIENT_7;PDV_3;PROD_4;41;80;3280;01/06/2021
238;CLIENT_7;PDV_4;PROD_3;18;143;2574;01/06/2021
239;CLIENT_7;PDV_4;PROD_6;7;47;329;01/06/2021
240;CLIENT_1;PDV_7;PROD_4;5;217;1085;01/06/2021
241;CLIENT_1;PDV_2;PROD_4;16;245;3920;01/06/2021
242;CLIENT_1;PDV_2;PROD_6;6;295;1770;01/06/2021
243;CLIENT_1;PDV_4;PROD_4;25;270;6750;01/06/2021
244;CLIENT_3;PDV_3;PROD_5;27;2;54;01/06/2021
245;CLIENT_3;PDV_2;PROD_2;21;77;1617;01/06/2021
246;CLIENT_8;PDV_7;PROD_2;40;29;1160;01/06/2021
247;CLIENT_8;PDV_3;PROD_2;18;282;5076;01/06/2021
248;CLIENT_8;PDV_2;PROD_2;5;178;890;01/06/2021
249;CLIENT_3;PDV_3;PROD_2;18;133;2394;01/06/2021
250;CLIENT_1;PDV_1;PROD_4;2;203;406;01/06/2021
251;CLIENT_1;PDV_3;PROD_4;44;258;11352;01/06/2021
252;CLIENT_1;PDV_6;PROD_4;18;49;882;01/06/2021
253;CLIENT_1;PDV_4;PROD_4;7;70;490;01/06/2021
254;CLIENT_1;PDV_5;PROD_4;34;105;3570;01/06/2021
255;CLIENT_1;PDV_2;PROD_5;3;300;900;01/06/2021
256;CLIENT_1;PDV_2;PROD_2;36;92;3312;01/07/2021
257;CLIENT_1;PDV_2;PROD_2;41;41;1681;01/07/2021
258;CLIENT_1;PDV_2;PROD_2;30;260;7800;01/07/2021
259;CLIENT_1;PDV_4;PROD_2;29;128;3712;01/07/2021
260;CLIENT_1;PDV_2;PROD_1;21;78;1638;01/07/2021
261;CLIENT_1;PDV_6;PROD_1;30;134;4020;01/07/2021
262;CLIENT_1;PDV_6;PROD_1;42;281;11802;01/07/2021
263;CLIENT_1;PDV_1;PROD_6;7;341;2387;01/07/2021
264;CLIENT_1;PDV_7;PROD_3;9;261;2349;01/07/2021
265;CLIENT_2;PDV_5;PROD_6;4;344;1376;01/07/2021
266;CLIENT_2;PDV_2;PROD_1;25;155;3875;01/07/2021
267;CLIENT_2;PDV_7;PROD_1;46;190;8740;01/07/2021
268;CLIENT_2;PDV_1;PROD_3;50;300;15000;01/07/2021
269;CLIENT_2;PDV_1;PROD_1;45;211;9495;01/07/2021
270;CLIENT_2;PDV_3;PROD_1;49;255;12495;01/07/2021
271;CLIENT_2;PDV_3;PROD_4;13;37;481;01/07/2021
272;CLIENT_3;PDV_6;PROD_3;19;253;4807;01/07/2021
273;CLIENT_3;PDV_3;PROD_3;26;103;2678;01/07/2021
274;CLIENT_3;PDV_7;PROD_4;20;238;4760;01/07/2021
275;CLIENT_1;PDV_7;PROD_3;3;291;873;01/07/2021
276;CLIENT_1;PDV_3;PROD_3;14;230;3220;01/07/2021
277;CLIENT_1;PDV_4;PROD_3;34;9;306;01/07/2021
278;CLIENT_1;PDV_1;PROD_3;9;164;1476;01/07/2021
279;CLIENT_1;PDV_3;PROD_3;23;177;4071;01/07/2021
280;CLIENT_3;PDV_1;PROD_6;36;310;11160;01/07/2021
281;CLIENT_3;PDV_7;PROD_6;16;236;3776;01/07/2021
282;CLIENT_3;PDV_3;PROD_6;28;18;504;01/07/2021
283;CLIENT_7;PDV_6;PROD_6;26;171;4446;01/07/2021
284;CLIENT_3;PDV_7;PROD_1;2;131;262;01/07/2021
285;CLIENT_3;PDV_6;PROD_2;23;233;5359;01/07/2021
286;CLIENT_3;PDV_2;PROD_2;43;216;9288;01/07/2021
287;CLIENT_3;PDV_3;PROD_2;42;87;3654;01/07/2021
288;CLIENT_3;PDV_4;PROD_2;20;321;6420;01/07/2021
289;CLIENT_6;PDV_1;PROD_2;27;287;7749;01/07/2021
290;CLIENT_1;PDV_2;PROD_1;6;74;444;01/07/2021
291;CLIENT_1;PDV_7;PROD_6;21;3;63;01/07/2021
292;CLIENT_1;PDV_6;PROD_1;44;276;12144;01/07/2021
293;CLIENT_1;PDV_7;PROD_1;10;15;150;01/07/2021
294;CLIENT_1;PDV_4;PROD_6;50;117;5850;01/07/2021
295;CLIENT_1;PDV_1;PROD_3;24;23;552;01/07/2021
296;CLIENT_1;PDV_4;PROD_4;10;213;2130;01/07/2021
297;CLIENT_1;PDV_6;PROD_3;35;324;11340;01/07/2021
298;CLIENT_1;PDV_3;PROD_2;2;348;696;01/08/2021
299;CLIENT_1;PDV_1;PROD_4;45;185;8325;01/08/2021
300;CLIENT_1;PDV_1;PROD_3;48;237;11376;01/08/2021
301;CLIENT_1;PDV_6;PROD_2;32;306;9792;01/08/2021
302;CLIENT_1;PDV_6;PROD_3;14;225;3150;01/08/2021
303;CLIENT_8;PDV_3;PROD_6;22;153;3366;01/08/2021
304;CLIENT_8;PDV_6;PROD_2;36;61;2196;01/08/2021
305;CLIENT_2;PDV_5;PROD_3;13;208;2704;01/08/2021
306;CLIENT_2;PDV_3;PROD_1;38;170;6460;01/08/2021
307;CLIENT_2;PDV_7;PROD_1;13;266;3458;01/08/2021
308;CLIENT_2;PDV_4;PROD_3;36;194;6984;01/08/2021
309;CLIENT_3;PDV_1;PROD_3;12;5;60;01/08/2021
310;CLIENT_7;PDV_5;PROD_5;19;242;4598;01/08/2021
311;CLIENT_1;PDV_6;PROD_1;26;313;8138;01/08/2021
312;CLIENT_1;PDV_7;PROD_5;27;287;7749;01/08/2021
313;CLIENT_7;PDV_4;PROD_3;18;309;5562;01/08/2021
314;CLIENT_3;PDV_4;PROD_3;10;188;1880;01/08/2021
315;CLIENT_2;PDV_4;PROD_2;40;157;6280;01/08/2021
316;CLIENT_2;PDV_5;PROD_2;16;57;912;01/08/2021
317;CLIENT_3;PDV_7;PROD_2;45;100;4500;01/08/2021
318;CLIENT_6;PDV_6;PROD_2;21;63;1323;01/08/2021
319;CLIENT_1;PDV_4;PROD_6;50;46;2300;01/08/2021
320;CLIENT_1;PDV_7;PROD_6;43;346;14878;01/08/2021
321;CLIENT_1;PDV_3;PROD_6;35;153;5355;01/08/2021
322;CLIENT_1;PDV_5;PROD_6;28;302;8456;01/08/2021
323;CLIENT_1;PDV_3;PROD_2;35;139;4865;01/08/2021
324;CLIENT_1;PDV_3;PROD_4;50;34;1700;01/08/2021
325;CLIENT_1;PDV_5;PROD_4;8;170;1360;01/08/2021
326;CLIENT_1;PDV_7;PROD_2;39;272;10608;01/08/2021
327;CLIENT_1;PDV_7;PROD_4;23;202;4646;01/08/2021
328;CLIENT_1;PDV_7;PROD_2;11;102;1122;01/08/2021
329;CLIENT_1;PDV_7;PROD_3;11;300;3300;01/08/2021
330;CLIENT_1;PDV_6;PROD_2;10;206;2060;01/08/2021
331;CLIENT_1;PDV_2;PROD_3;37;13;481;01/08/2021
332;CLIENT_8;PDV_3;PROD_6;21;12;252;01/08/2021
333;CLIENT_8;PDV_6;PROD_3;5;63;315;01/08/2021
334;CLIENT_2;PDV_5;PROD_5;9;26;234;01/08/2021
335;CLIENT_2;PDV_1;PROD_4;22;186;4092;01/08/2021
336;CLIENT_2;PDV_4;PROD_1;21;73;1533;01/08/2021
337;CLIENT_7;PDV_4;PROD_5;38;103;3914;01/09/2021
338;CLIENT_7;PDV_6;PROD_5;28;87;2436;01/09/2021
339;CLIENT_1;PDV_2;PROD_1;16;220;3520;01/09/2021
340;CLIENT_1;PDV_2;PROD_1;46;305;14030;01/09/2021
341;CLIENT_1;PDV_7;PROD_1;10;241;2410;01/09/2021
342;CLIENT_1;PDV_2;PROD_6;29;76;2204;01/09/2021
343;CLIENT_1;PDV_3;PROD_1;23;250;5750;01/09/2021
344;CLIENT_7;PDV_2;PROD_3;30;52;1560;01/09/2021
345;CLIENT_7;PDV_7;PROD_3;2;286;572;01/09/2021
346;CLIENT_7;PDV_4;PROD_3;25;107;2675;01/09/2021
347;CLIENT_3;PDV_1;PROD_3;8;99;792;01/09/2021
348;CLIENT_3;PDV_1;PROD_3;33;79;2607;01/09/2021
349;CLIENT_8;PDV_2;PROD_2;30;186;5580;01/09/2021
350;CLIENT_8;PDV_6;PROD_2;31;328;10168;01/09/2021
351;CLIENT_2;PDV_2;PROD_2;16;182;2912;01/09/2021
352;CLIENT_2;PDV_7;PROD_2;5;3;15;01/09/2021
353;CLIENT_6;PDV_7;PROD_2;11;43;473;01/09/2021
354;CLIENT_1;PDV_1;PROD_2;26;190;4940;01/09/2021
355;CLIENT_1;PDV_4;PROD_2;4;47;188;01/09/2021
356;CLIENT_1;PDV_3;PROD_3;22;18;396;01/09/2021
357;CLIENT_1;PDV_4;PROD_2;17;277;4709;01/09/2021
358;CLIENT_1;PDV_7;PROD_3;28;317;8876;01/09/2021
359;CLIENT_1;PDV_2;PROD_2;46;210;9660;01/09/2021
360;CLIENT_1;PDV_5;PROD_3;43;264;11352;01/09/2021
361;CLIENT_1;PDV_3;PROD_4;36;95;3420;01/09/2021
362;CLIENT_1;PDV_6;PROD_2;10;50;500;01/09/2021
363;CLIENT_1;PDV_7;PROD_2;3;193;579;01/09/2021
364;CLIENT_1;PDV_1;PROD_3;35;56;1960;01/09/2021
365;CLIENT_1;PDV_3;PROD_6;5;344;1720;01/09/2021
366;CLIENT_1;PDV_2;PROD_5;36;69;2484;01/10/2021
367;CLIENT_1;PDV_5;PROD_6;17;221;3757;01/10/2021
368;CLIENT_1;PDV_6;PROD_5;30;337;10110;01/10/2021
369;CLIENT_1;PDV_7;PROD_6;12;186;2232;01/10/2021
370;CLIENT_1;PDV_6;PROD_2;44;268;11792;01/10/2021
371;CLIENT_1;PDV_5;PROD_1;42;65;2730;01/10/2021
372;CLIENT_1;PDV_5;PROD_1;41;350;14350;01/10/2021
373;CLIENT_1;PDV_5;PROD_6;32;224;7168;01/10/2021
374;CLIENT_1;PDV_3;PROD_3;1;76;76;01/10/2021
375;CLIENT_1;PDV_4;PROD_1;20;277;5540;01/10/2021
376;CLIENT_8;PDV_7;PROD_1;27;282;7614;01/10/2021
377;CLIENT_8;PDV_7;PROD_3;3;209;627;01/10/2021
378;CLIENT_8;PDV_2;PROD_5;50;26;1300;01/10/2021
379;CLIENT_8;PDV_4;PROD_6;21;290;6090;01/10/2021
380;CLIENT_1;PDV_4;PROD_5;18;163;2934;01/10/2021
381;CLIENT_1;PDV_7;PROD_5;40;139;5560;01/10/2021
382;CLIENT_1;PDV_6;PROD_2;50;178;8900;01/10/2021
383;CLIENT_2;PDV_5;PROD_6;21;27;567;01/10/2021
384;CLIENT_2;PDV_7;PROD_4;30;146;4380;01/10/2021
385;CLIENT_2;PDV_2;PROD_6;27;4;108;01/10/2021
386;CLIENT_2;PDV_6;PROD_3;18;268;4824;01/10/2021
387;CLIENT_2;PDV_6;PROD_1;30;236;7080;01/10/2021
388;CLIENT_2;PDV_2;PROD_5;5;31;155;01/10/2021
